facility_id,facility_name,facility_type,district,latitude,longitude,crs,risk_level,pred_outage_prob_24h,pred_human_impact_prob_24h,priority_score_24h,predicted_risk_label_24h
node/5556568170,Navkar Hospital and Maternity Home,Hospital,RAIPUR,21.2284143,81.6545326,0.4781826078822488,Medium,0.17322853223295898,0.00016068292946418532,0.38505978157499854,Medium
node/6968280856,Arihant Netralaya,Hospital,RAIPUR,21.2359599,81.6381209,0.4781826078822488,Medium,0.17323700246961352,0.00016068292946418532,0.3850350872790899,Medium
node/7148125258,Shri Khudadad Dungaji Government Ayurved College Hospital,Hospital,RAIPUR,21.244933,81.605817,0.4781826078822488,Medium,0.17323700246961352,0.00016068292946418532,0.3849857003250482,Medium
node/6965497714,"Yashwant Hospital, Raipur",Hospital,RAIPUR,21.2399062,81.62751,0.4781826078822488,Medium,0.15170850665761598,0.00016068292946418532,0.37841194386956845,Medium
node/4445137285,Bal Gopal Children Hospital and Research Institute,Hospital,RAIPUR,21.2349337,81.6413322,0.4781826078822488,Medium,0.15118817145835065,0.00016068292946418532,0.37817387288518634,Medium
node/3774564938,bagri nursing home,Hospital,RAIPUR,21.2414376,81.6232005,0.4781826078822488,Medium,0.15111637892716784,0.00016068292946418532,0.3781181952488208,Medium
node/6956627650,Sai Sushrusha Hospital,Hospital,RAIPUR,21.2352073,81.6418236,0.4781826078822488,Medium,0.14322734398136946,0.00016068292946418532,0.3756312645288881,Medium
node/6956629810,Dr. M.R. Bhagwat Memorial Hospital,Hospital,RAIPUR,21.2439374,81.6145067,0.4781826078822488,Medium,0.10605595685065299,0.00016068292946418532,0.36444793615932136,Medium
node/4445146001,Yashwant Hospital,Hospital,RAIPUR,21.2403202,81.6293508,0.4781826078822488,Medium,0.07970309058339319,0.00016068292946418532,0.3563662369275642,Medium
node/6965836187,K G N Surical and Maternity Centre,Hospital,RAIPUR,21.2342586,81.645458,0.4781826078822488,Medium,0.0556005631241503,0.00016068292946418532,0.3489456580415259,Medium
node/6965834146,City Hospital And Research Centre,Hospital,RAIPUR,21.2465523,81.6100636,0.4781826078822488,Medium,0.03966868655207931,0.00016068292946418532,0.34407879785318063,Medium
node/7288964613,Awasthi Hospital,Hospital,RAIPUR,21.231624,81.6540067,0.4781826078822488,Medium,0.03495612796515502,0.00016068292946418532,0.34222928383163986,Medium
node/6966792010,Lifeworth Super Speciality Hospital,Hospital,RAIPUR,21.2456986,81.6175885,0.4781826078822488,Medium,0.03495596984444646,0.00016068292946418532,0.34222605455808464,Medium
node/6965834161,Dr. Jaulkar Ent Hospital,Hospital,RAIPUR,21.2471581,81.6123417,0.4781826078822488,Medium,0.03213888051070385,0.00016068292946418532,0.34115040425819876,Medium
node/4445126014,Mayoor school,School,RAIPUR,21.2349537,81.6495081,0.4781826078822488,Medium,0.02626821562921187,0.00016068292946418532,0.33879286839672906,Medium
node/7148125308,Government Hospital,Hospital,RAIPUR,21.2300217,81.6598785,0.4781826078822488,Medium,0.024990251247857326,0.00016068292946418532,0.33775865339272804,Medium
node/6965495354,Modi Hospital,Hospital,RAIPUR,21.2462123,81.6186909,0.4781826078822488,Medium,0.024693349378147406,0.00016068292946418532,0.3368518641193523,Medium
node/6957120029,Visharad Hospital,Hospital,RAIPUR,21.2391162,81.6413422,0.4781826078822488,Medium,0.024157196008492796,0.00016068292946418532,0.3361609142599711,Medium
node/7291844302,Petals Newborn And Children Hospital,Hospital,RAIPUR,21.245081,81.6245086,0.4781826078822488,Medium,0.024157196008492796,0.00016068292946167225,0.3356472234514704,Medium
node/7288964683,Dr Nigam Hospital,Hospital,RAIPUR,21.2350371,81.6517301,0.4781826078822488,Medium,0.023260150004165796,0.00016068292946167225,0.3328669425723158,Medium
node/6966904976,Agrasen Hospital,Hospital,RAIPUR,21.2454224,81.6245992,0.4781826078822488,Medium,0.022846262134317088,0.00016068292946167225,0.3318279076637783,Medium
node/7291844307,Shashwat Hospital,Hospital,RAIPUR,21.244077,81.630207,0.4781826078822488,Medium,0.022846239683526736,0.00016068292946167225,0.331739337911385,Medium
node/4446574875,Grass Memorial Ground,School,RAIPUR,21.2385713,81.6450914,0.4781826078822488,Medium,0.022455883864620076,0.00016068292946167225,0.3290171850454634,Low
node/4445120486,Holy Heartseducational academy,School,RAIPUR,21.2374171,81.6480843,0.4781826078822488,Medium,0.022315573960128246,0.00016068292946167225,0.32276263227800595,Low
node/6965495359,Jagjivan Urology Centre,Hospital,RAIPUR,21.2461698,81.6239078,0.4781826078822488,Medium,0.02231556137881445,0.00016068292946167225,0.3162568887700813,Low
node/6965836221,M D Hospital and Iccu,Hospital,RAIPUR,21.2465873,81.6236986,0.4781826078822488,Medium,0.022270803779389187,0.00016068292946167225,0.3022302213862684,Low
node/7291844264,"Om Hospital , Burn Plastic & Cosmetic Surgery Center",Hospital,RAIPUR,21.2451108,81.6301308,0.4781826078822488,Medium,0.022266624299289647,0.00016068292946167225,0.27431517366596625,Low
node/6283904436,Dispensary,Hospital,RAIPUR,21.2514868,81.6023593,0.4781826078822488,Medium,0.02215121517489801,0.00016068292959384818,0.2711499658958034,Low
node/6965834136,Bhattar Hospital,Hospital,RAIPUR,21.242349,81.6395467,0.4781826078822488,Medium,0.02212438662211078,0.00016068292959384818,0.22805271114877604,Low
node/6965836192,K.M. Hospital,Hospital,RAIPUR,21.2438524,81.6384199,0.4781826078822488,Medium,0.02201285381329507,0.00016071739401304027,0.20467878128661918,Low
node/7291844258,Mamta Hospital,Hospital,RAIPUR,21.246905,81.631597,0.4781826078822488,Medium,0.021660302266263434,0.00016071739401304027,0.1680328684628725,Low
node/7291844245,DKS Super Speciality Hospital,Hospital,RAIPUR,21.2449632,81.6412379,0.4781826078822488,Medium,0.02163786131847027,0.00016126221287596947,0.16571540171976396,Low
node/7291844243,Virdi Hospital,Hospital,RAIPUR,21.2496368,81.628347,0.4781826078822488,Medium,0.021522335574177903,0.00016126221287596947,0.16531711946814287,Low
node/6968280745,Raipur Hospital,Hospital,RAIPUR,21.2468461,81.6415286,0.4781826078822488,Medium,0.021136754359176044,0.00016126221287596947,0.15753145377876376,Low
node/7288964653,Dr Manoj Agrwal,Hospital,RAIPUR,21.2437894,81.6504829,0.4781826078822488,Medium,0.021075873452613237,0.00016126221287596947,0.15706914401509875,Low
node/6956629796,Piles Care Hospital,Hospital,RAIPUR,21.2454024,81.6468099,0.4781826078822488,Medium,0.021060282584433463,0.0001612361841772026,0.1551861408917958,Low
node/8322190354,Daffodils English School,School,RAIPUR,21.2574871,81.6049235,0.4781826078822488,Medium,0.021052849394732717,0.0001612361841772026,0.15189503016210615,Low
node/6965497709,Ganpati Hospital (Banthia Hospital),Hospital,RAIPUR,21.2458836,81.6474972,0.4781826078822488,Medium,0.021027820674234584,0.0001612361841772026,0.14254321208286827,Low
node/7288964644,We Care Super Specialty Hospital,Hospital,RAIPUR,21.235399,81.668942,0.4781826078822488,Medium,0.021022402205829308,0.0001612361841772026,0.1313311069822848,Low
